Num	Pais	Color	Color	Color	Alin	Cervezas
1	Espanya	FFC60B1E	FFFFC400	FFC60B1E	0	83.8
2	Alemania	FF000000	FFDD0000	FFFFCE00	0	115.8
3	Francia	FF00209F	FFFFFFFF	FFF42A41	1	33.7
4	Luxemburgo	FFEF2B2D	FFFFFFFF	FF00A3DD	0	84.4
5	Irlanda	FF009A63	FFFFFFFF	FFFF823D	0	131.1
6	Mejico	FF006847	FFFFFFFF	FFCE1126	1	51.8
7	Belgica	FF000000	FFFFCE00	FFDD0000	1	93
8	Austria	FFD81E05	FFFFFFFF	FFD81E05	0	108.3
9	Paises Bajos	FFAE1C28	FFFFFFFF	FF21468B	0	79
10	Rumania	FF002B7F	FFFCD116	FFCE1126	1	58.2
